2211,4,18
4277,4,18
4247,4,19
4194,4,19
2756,4,21
497,5,0
834,5,3
4259,5,13
902,6,5
4041,0,0
810,3,5
2437,4,0
2634,7,9
4694,7,9
253,7,16
1072,0,1
1978,0,16
2960,0,28
3241,1,0
3902,2,12
562,2,23
2886,3,1
4879,4,29
4610,5,10
2268,6,0
352,6,1
2601,7,26
560,1,19
2455,1,27
4669,2,19
3676,3,2
1983,3,16
4980,3,20
640,4,18
3427,5,0
4321,5,3
267,6,11
3151,7,4
4063,0,12
1281,0,29
896,0,30
2621,1,2
975,1,27
755,1,30
3191,1,30
2639,2,10
3208,2,23
1167,2,28
1058,3,0
1749,3,2
2028,4,18
700,4,19
991,5,10
3314,5,26
345,6,0
4929,7,4
1077,7,26
3047,4,0
852,4,10
2858,4,22
4391,5,0
4839,6,5
589,6,20
4848,6,27
4508,6,27
4071,7,32
1964,0,20
414,0,26
139,2,11
2395,2,27
302,3,5
1300,4,10
1195,4,18
2660,4,28
1662,5,3
3412,5,9
4169,5,25
3399,6,31
1393,7,0
3008,7,29
503,0,16
1723,0,26
1075,0,30
3384,1,3
3779,1,30
135,2,28
2849,4,0
1598,4,21
3081,4,27
1975,4,28
1667,5,27
2482,5,28
2637,6,0
1112,6,15
2181,6,15
2701,0,21
1064,1,22
4958,1,26
1381,1,30
797,2,4
3437,2,4
952,2,7
3274,3,1
507,3,5
1583,3,7
4191,3,33
4157,4,8
4581,4,24
1973,4,28
4461,5,0
3204,5,9
4156,5,9
3272,6,0
1545,6,11
2041,6,15
4533,7,16
1877,7,26
645,0,12
1117,0,21
4554,0,26
3997,1,0
1080,1,17
4585,1,19
1436,1,22
2416,2,8
2668,2,10
2089,3,20
4030,4,33
1084,5,36
3025,6,18
657,6,24
1990,7,9
4151,1,32
1850,2,1
4267,2,4
2363,2,9
1446,2,9
3889,2,23
4172,2,36
2891,3,10
1487,3,20
283,3,29
705,4,26
4989,5,31
419,6,0
984,6,11
1238,6,23
359,0,35
2581,1,0
3698,1,2
4444,1,14
1204,2,5
3599,2,14
1641,4,0
3825,6,11
3757,6,15
2125,6,32
2068,7,16
3839,7,23
379,1,0
1243,1,1
1531,1,22
1912,2,0
4605,2,7
2313,2,13
1794,3,32
3972,4,18
3225,4,30
1094,5,27
908,6,36
2445,7,0
4570,7,34
1126,0,1
126,0,28
2167,0,28
3185,0,35
143,1,0
3767,1,2
457,1,37
1106,2,23
1129,2,37
738,3,16
3326,4,0
3834,4,2
3232,4,18
962,4,37
2144,5,13
4918,6,5
65,6,5
1754,6,11
3893,7,27
4054,0,0
4102,0,10
1888,0,24
1221,0,26
3093,0,27
3871,0,28
3874,0,39
3102,2,0
1565,2,17
2983,2,18
1949,4,0
732,4,4
1188,4,26
625,4,33
2442,5,33
3098,5,34
763,7,16
879,7,34
3315,0,0
1184,0,41
3529,1,22
191,1,30
4074,4,13
1760,4,19
3783,4,32
294,6,12
2067,6,19
4442,6,39
4470,7,32
1891,7,40
543,0,17
830,0,42
3796,1,17
833,1,19
630,2,0
2948,3,5
4227,4,19
3357,4,26
464,6,5
4566,7,22
3638,0,12
4742,0,32
2233,0,42
1709,1,13
1181,1,17
4462,1,17
1429,2,17
3546,2,19
1053,2,41
1312,3,15
3820,4,8
2777,4,21
393,4,36
155,4,42
4028,6,11
1453,6,36
1246,6,36
3788,6,39
4129,7,9
1904,7,27
203,7,39
20,7,40
4971,0,0
3743,0,20
4291,2,36
3739,3,0
1383,3,40
1933,4,0
4924,5,3
358,5,13
531,5,22
838,5,31
3181,5,34
2111,6,1
4499,6,30
1115,6,41
518,7,0
4739,7,31
2215,7,40
3245,0,16
3199,0,21
420,0,45
2805,1,18
4519,1,18
4339,1,19
3668,1,22
4497,1,22
3320,1,25
652,1,37
2781,1,41
390,2,1
4386,2,4
2024,2,8
3322,2,44
4360,3,46
343,4,1
4251,4,10
4996,4,18
2674,5,31
81,5,41
4609,5,46
164,6,1
1630,6,28
3883,6,45
4385,7,34
4708,0,28
327,0,46
2855,1,13
2641,1,26
1928,1,30
4278,1,40
3933,1,47
3070,2,5
2760,2,39
4931,2,40
2272,3,0
4372,3,5
4636,3,9
1108,3,30
2761,4,0
4488,4,1
1508,4,45
